"","id","id_evento","id_victima","tipo_vic","nom_vic","genero_vic","partido1","partido2","partido3","partido4","coalicion","puesto1","puesto2","puesto3","cat_puesto1","cat_puesto2","cat_puesto3","nivel_gob","area_gob","tipo_evento","agresor","Obs_agresor","fecha","estado","municipio","cve_edoINEGI","cve_munINEGI"
"408","GTO-2021-04-05",349,387,"Autoridad","María Antonia Aguilar","Mujer","PAN","","","","","Delegada de la comunidad de Roque","","","Funcionario(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2021-04-05","Guanajuato","Celaya","11","007"
"409","GRO-2021-04-05",350,388,"Autoridad","Carlos Márquez Oyorzobal","Hombre","PRD","","","","","Comisario municipal","","","Funcionario(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2021-04-05","Guerrero","San Miguel Totolapan","12","054"
"410","BCN-2021-04-08",351,389,"Partido","Luis Roberto Don Félix","Hombre","INDEPENDIENTE","","","","","Candidato a regidor","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","","2021-04-08","Baja_California","Tecate","02","003"
"411","GRO-2021-04-08",352,390,"Partido","María Guadalupe Deloya Bello","Mujer","MORENA","","","","","Candidata de Morena a alcalde de Eduardo Neri","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","Sujeto(s) armado(s)","","2021-04-08","Guerrero","Eduardo Neri","12","075"
"412","VER-2021-04-12",353,391,"Partido","No disponible","Hombre","PRD","","","","","Candidato a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","No identificado","","2021-04-12","Veracruz_de_Ignacio_de_la_Llave","Tatahuicapan de Juárez","30","209"
"413","OAX-2021-04-13",354,392,"Partido","Leonardo Díaz Cruz","Hombre","PAN","","","","","Padre de un Candidato a diputación local y Presidencia municipal, y también de una diputación federal y presidencia del PAN","","","Familiar","Candidato(a)","Alcalde(sa)","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2021-04-13","Oaxaca","San Antonio de la Cal","20","107"
"414","MEX-2021-04-18",355,393,"Partido","Sixto Arpide Morales","Hombre","MC","","","","","Hijo del Candidato a la Presidencia Municipal","","","Familiar","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","","2021-04-18","Mexico","Teotihuacán","15","092"
"415","BCN-2021-04-19",356,394,"Partido","Blanca Estela Beltrán","Mujer","MC","","","","","Militante","Activista","","Militante","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2021-04-19","Baja_California","Tecate","02","003"
"416","TAM-2021-04-19",357,395,"Partido","Mayra Ojeda","Mujer","PRI","","","","","Secretario general del partido","Candidata a regidora","","Militante","Candidato(a)","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Atentado","No identificado","","2021-04-19","Tamaulipas","Ciudad Madero","28","009"
"417","MIC-2021-04-22",358,396,"Autoridad","César Enrique Palafox Quintero","Hombre","PAN","","","","","Alcalde de Los Reyes","Candidato a diputación local y","","Alcalde(sa)","Candidato(a)","","Estatal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Ataque armado","Comando armado","","2021-04-22","Michoacan_de_Ocampo","Morelia","16","053"
